"id","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle","alt","nada","InBurrow","region","log.SL","logit.TA","z"
"tm13",373236.633,8212059.007,"2015-07-06 21:47:00",1.49800000002142,18.375,18.4359602136711,240,308581.636653653,1.4894524064593,0.336099508024117,217.45,0,0,"N",2.91430311677778,-2.12192734102325,4
"tm13",373276.899,8212215.241,"2015-07-06 22:07:00",25.2280000000028,93.9679999994114,97.2956165913425,300,484310.10975407,1.30850700204731,-0.190258724408577,250,0,0,"N",4.57775393772847,-2.74162767322374,4
"tm13",373282.395,8212189.272,"2015-07-07 18:07:00",-7.38900000002468,-53.813000000082,54.3179186825967,300,448069.929730353,-1.70725186043608,0.13652156605732,224.1,0,0,"N",3.99485416665843,-3.09157390786696,4
"tm13",373437.713,8212390.783,"2015-07-08 15:01:00",-7.90299999999115,-9.69699999969453,12.5095650601424,300,735359.165245356,-2.25461351454688,0.517921251032676,221.61,0,1,"N",2.52649355649971,-1.62250670886925,4
"tm13",373508.72,8212474.256,"2015-07-08 15:46:00",12.4680000000517,-29.9120000004768,32.4064618252258,300,893467.814045817,-1.17587228014347,0.187476056729661,223.77,0,0,"N",3.47835784196314,-2.75730379333731,4
"tm13",373521.188,8212444.344,"2015-07-08 15:51:00",7.1809999999823,-40.1209999993443,40.7585745818857,300,840532.706668932,-1.39368808939661,-0.217815809253139,226.32,0,0,"N",3.70766623673924,-2.59698170536376,4
"tm14",373395.753,8211703.331,"2015-07-05 19:02:00",27.4679999999935,113.452999999747,116.730776716949,300,10929.3531700885,1.33325810149635,-0.118390146512724,212.83,0,0,"N",4.75987022960413,-3.24008648434835,4
"tm14",373423.221,8211816.784,"2015-07-05 19:07:00",98.7770000000019,263.669999999925,281.564849775253,600,48956.067585077,1.21235570721285,-0.120902394283499,204.52,0,0,"N",5.64036279325153,-3.21825708567826,4
"tm14",373521.998,8212080.454,"2015-07-05 19:17:00",24.1669999999576,55.4589999997988,60.4958227481505,300,251755.6020881,1.159844455898,-0.052511251314852,212.32,0,0,"N",4.10257431716793,-4.07460158748253,4
"tm14",373582.432,8212151.169,"2015-07-05 19:32:00",8.57300000003306,-3.38100000005215,9.21561121146718,300,346143.99731293,-0.37565018783366,0.235664932451855,230.63,0,0,"N",2.22089891680794,-2.51209695309546,4
"tm14",373593.359,8212166.168,"2015-07-05 19:43:00",-15.11599999998,6.88400000054389,16.6097234175312,300,367553.450776754,2.71424765746649,1.2708318725687,213.72,0,0,"N",2.80998827192312,-0.386673479091685,4
"tm14",373645.873,8212256.752,"2015-07-05 20:03:00",-36.89300000004,19.2609999999404,41.6182600549405,300,503967.756169684,2.66043955168452,0.829830269431201,211.43,0,0,"N",3.72853901458802,-1.02454426427509,4
"tm14",373841.755,8212238.957,"2015-07-06 18:25:00",6.5,-145.233000000007,145.378383155826,300,626044.402250745,-1.52607050536433,0.134239687377929,214.41,0,0,"N",4.97933988249118,-3.10918864372692,4
